Accession,LIB,Lat,Lon
PI181899,IDUX,36.209999,37.159999
PI329841,IFET,12.22999954,37.29000092
PI329617,IFEN,9,37.31000137
PI329618,ISLX,9,37.31000137
PI329843,IFEU,11.55000019,37.36000061
PI329583,IFEL,7.960000038,37.43000031
PI329584,INMI,7.960000038,37.43000031
PI329585,INMJ,7.960000038,37.43000031
PI534127,CZXCG,8.159999847,37.56000137
PI330796,IFFF,7.050000191,37.59999847
PI329545,IFJJ,8.270000458,37.77000046
PI329546,IFJK,8.270000458,37.77000046
PI329605,INMK,8.970000267,37.84999847
PI213900,ISMI,-0.023559,37.906193
PI329541,ISLQ,8.529999733,37.97999954
PI329614,IFJP,9.909999847,38.31000137
PI329615,IFEM,9.909999847,38.31000137
PI329319,INLR,9.180000305,38.33000183
PI329518,INME,8.109999657,38.36999893
PI329519,INMF,8.109999657,38.36999893
PI329673,IFES,9.029999733,38.40000153
PI153852,SRR8474740,-3.349999905,38.56000137
PI153852,IXPH,-3.349999905,38.56000137
PI337680,IFFH,9.899999619,38.58000183
PI329480,INLZ,7.199999809,38.59999847
PI329473,ISLJ,7.349999905,38.66999817
PI533792,IFGM,9.029999733,38.70000076
PI329569,INMG,8.949999809,38.70999908
PI329813,IXNM,14.13000011,38.70999908
PI329864,IFEW,9.300000191,38.75
PI329865,IFEX,9.300000191,38.75
PI329465,INLX,9.399999619,38.84000015
PI329466,IFJH,9.399999619,38.84000015
PI330243,INXI,15.319999,38.919998
PI329256,INLM,15.31999969,38.91999817
PI563329,IFEG,8.739999,38.979999
PI563332,IFEI,8.739999,38.979999
PI329517,INMD,8.739999771,38.97999954
PI330885,INXK,12.029999,39.029998
PI329471,INLY,8.6,39.1166667
PI329501,IXCU,7.949999809,39.13000107
PI329506,INMA,7.949999809,39.13000107
PI329268,INXE,8.541389,39.268889
PI329510,INMB,8.539999962,39.27000046
PI329511,INMC,8.539999962,39.27000046
PI329299,INLP,14.39999962,39.38000107
PI329300,IFJE,14.39999962,39.38000107
PI329301,IFJF,14.39999962,39.38000107
PI330199,IFFE,14.27999973,39.45999908
PI329702,IFJR,9.670000076,39.52999878
PI534124,CZXCA,12.35999966,39.52999878
PI330184,IFFC,12.40999985,39.54999924
PI330195,IFJX,14.05000019,39.56000137
PI330196,IFFD,13.68000031,39.58000183
PI329403,IFJG,11.13000011,39.63000107
PI330181,IFFA,12.15999985,39.63000107
PI330182,IFFB,12.15999985,39.63000107
PI330167,IFEY,11.82999992,39.68000031
PI330169,IFEZ,11.82999992,39.68000031
PI534133,IZGS,11.69999981,39.74000168
PI329710,ISMJ,9.840000153,39.75999832
PI329711,IFJT,9.840000153,39.75999832
PI337676,IXNN,5.210000038,39.83000183
PI329338,IDZX,10,39.88999939
PI329351,INLT,10.30000019,39.97999954
PI329394,INLU,11.18000031,40.00999832
PI273969,IECN,9.145,40.489674
PI452544,INMN,9.145,40.489674
PI453106,IFEA,9.145,40.489674
PI453177,IFEB,9.145,40.489674
PI455280,IFED,9.145,40.489674
PI330747,IXML,7.15,40.71667
PI337689,IFFI,9.039999962,40.90000153
PI330858,IFEH,8.329999924,41.59000015
PI276816,IZPX,9.579999,41.860001
PI276816,SRR8474780,9.579999,41.860001
PI276837,INLJ,9.579999,41.860001
PI329286,INLN,9.579999924,41.86000061
PI534148,CZXCS,9.579999924,41.86000061
PI534148,JHHS,9.579999924,41.86000061
PI534148,ISIX,9.579999924,41.86000061
PI534155,ISJF,9.579999924,41.86000061
PI534157,IFHK,9.579999924,41.86000061
PI330036,INXH,9.399999,42.009998
PI330122,IFHF,9.399999,42.009998
PI329310,INLQ,9.300000191,42.13000107
PI534123,CZXBZ,9.300000191,42.13000107
IS32050,IQTI,15.289999,43.330001
PI475552,INXQ,15.140001,43.560001
PI474993,INXL,13.470001,44.090001
PI475422,INXP,15.319999,44.150001
PI474825,IFLZ,14.185833,44.276944
PI475369,IXQJ,13.449999,44.470001
IS31861,IQTH,13.590001,44.520004
PI330822,IXPK,7.480000019,45.15999985
PI475714,IXQK,16.040001,49.240001
IS32092,IQTJ,16.083333,49.416701
PI644442,IXQR,21.522184,70.457877
PI644693,IQUF,22.720132,71.649536
PI218112,INLC,31.823759,73.909501
PI271619,INWU,26.450001,74.640001
PI644384,IQUA,26.159999,75.779998
PI644617,IQUE,26.926237,75.823501
PI576401,IFGJ,25.45999908,76.36000061
PI644605,IQUD,19.259167,76.783056
IS22074,IQSA,15.140001,76.910001
PI291246,INLK,15.090001,77.040001
PI595699,IFME,20.593683,78.962883
PI665135,IQUS,23.04,79.489997
IS22609,IQSB,7.320001,80.980003
PI248323,INWJ,21.400001,81.966666
PI576366,IFHG,26.79999924,82.72000122
PI302252,IFJZ,35.86166,104.195396
PI563989,IPDI,37.50999832,111.1299973
PI610726,IXQP,39.43333333,111.4833333
PI563987,IQTQ,36.84000015,111.7600021
PI610740,IPFI,37.2,112.1833333
PI563998,IPDJ,37.34999847,112.3099976
PI610702,IPFG,37.83333333,112.5
PI564001,IQTR,39.43000031,114.2300034
PI92270,ISMU,39.928891,116.388333
PI586541,IFMP,-25.274399,133.775131
